name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Roman Seigmann,---,47,---,1447,35-39,43,AT,AUT,---,---,00:28:20,1.9 km,00:02:51,02:27:08,90.1 km,00:02:15,01:19:53,21.1 km,04:20:27
Daniela Seiringer,---,1813,---,427,25-29,---,---,AUT,---,---,00:47:37,1.9 km,00:06:45,03:34:52,90.1 km,00:03:01,02:19:54,21.1 km,06:52:09
Peter Sellner,---,485,---,1448,35-39,---,---,AUT,---,---,00:35:54,1.9 km,00:05:01,02:42:44,90.1 km,00:02:21,01:35:39,21.1 km,05:01:39
Jan Selnes,---,213,---,2177,45-49,---,Bavaria (Bayern),DEU,---,---,00:35:03,1.9 km,00:03:33,02:34:05,90.1 km,00:01:53,01:30:04,21.1 km,04:44:38
Joe Seltmann,---,757,---,1105,55-59,---,---,DEU,---,---,00:37:04,1.9 km,00:05:08,02:42:48,90.1 km,00:02:25,01:47:46,21.1 km,05:15:11
Thomas Seltmann,---,593,---,1876,40-44,50,DE,DEU,---,---,00:36:02,1.9 km,00:03:18,02:43:12,90.1 km,00:02:31,01:42:17,21.1 km,05:07:20
Dwight Senduk,---,596,---,709,30-34,---,Greater London,NLD,---,---,00:26:55,1.9 km,00:05:46,02:51:21,90.1 km,00:02:39,01:40:45,21.1 km,05:07:26
Angelika Senn,---,1541,---,1082,50-54,---,Tirol / Tyrol,AUT,---,---,00:43:05,1.9 km,00:04:56,03:03:55,90.1 km,00:03:01,02:04:35,21.1 km,05:59:32
Heidi Serr,---,1106,---,896,35-39,46,DE,DEU,---,---,00:37:16,1.9 km,00:03:42,02:55:47,90.1 km,00:02:33,01:52:21,21.1 km,05:31:39
Karl Seyrkammer,---,88,---,1450,35-39,41,AT,AUT,---,---,00:31:25,1.9 km,00:02:49,02:27:18,90.1 km,00:02:12,01:28:12,21.1 km,04:31:56
Robert Seyrkammer,---,228,---,341,25-29,33,Ober?sterreich / Upper Austria,AUT,---,---,00:27:48,1.9 km,00:03:24,02:42:22,90.1 km,00:01:38,01:30:50,21.1 km,04:46:02
Mick Sgarbossa,---,664,---,710,30-34,---,Greater London,AUS,---,---,00:34:42,1.9 km,00:03:54,02:42:10,90.1 km,00:01:58,01:47:33,21.1 km,05:10:17
Paula Sgarbossa,---,1447,---,835,30-34,---,Greater London,AUS,---,---,00:34:51,1.9 km,00:04:38,03:13:40,90.1 km,00:03:05,01:55:58,21.1 km,05:52:12
Paul Shanley,---,1709,---,1451,35-39,43,Essex,GBR,---,---,00:42:32,1.9 km,00:05:13,03:16:58,90.1 km,00:03:02,02:15:35,21.1 km,06:23:20
Chris Shea,---,1242,---,342,25-29,---,Maryland,USA,---,---,00:41:48,1.9 km,00:06:59,02:56:04,90.1 km,00:05:01,01:48:36,21.1 km,05:38:28
Andrew Shores,---,---,DNS,2178,45-49,---,Wiltshire,BRA,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Alesa Sicherl,---,1828,---,939,40-44,---,---,SVN,---,---,00:48:55,1.9 km,00:06:33,03:42:12,90.1 km,00:03:15,02:21:06,21.1 km,07:02:01
Alexandros Sichlimiris,---,1830,---,1452,35-39,---,GRC,GRC,---,---,00:49:02,1.9 km,00:11:13,04:01:37,90.1 km,00:04:58,01:56:47,21.1 km,07:03:37
Albert Sickl,---,804,---,1453,35-39,41,---,AUT,---,---,00:33:06,1.9 km,00:04:09,02:49:09,90.1 km,00:02:44,01:48:36,21.1 km,05:17:44
Martin Siebenmorgen,---,1571,---,711,30-34,---,---,DEU,---,---,00:39:12,1.9 km,00:07:15,03:08:38,90.1 km,00:04:27,02:03:32,21.1 km,06:03:04
Christoph Sieberer,---,280,---,1877,40-44,47,---,AUT,---,---,00:33:24,1.9 km,00:04:28,02:39:27,90.1 km,00:01:37,01:30:50,21.1 km,04:49:46
Anita Sierek,---,1774,---,836,30-34,---,Tirol / Tyrol,AUT,---,---,00:50:47,1.9 km,00:04:46,03:27:10,90.1 km,00:01:56,02:14:01,21.1 km,06:38:40
Markus Sigl,---,1111,---,712,30-34,---,---,AUT,---,---,00:42:37,1.9 km,00:03:44,02:48:22,90.1 km,00:03:28,01:53:43,21.1 km,05:31:54
Peter Sigmund,---,1258,---,1878,40-44,---,Baden-Wuerttemberg,DEU,---,---,00:39:13,1.9 km,00:06:08,03:00:47,90.1 km,00:03:45,01:49:13,21.1 km,05:39:06
Roman Silha,---,---,DNS,1454,35-39,---,---,CZE,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Harald Siller,---,970,---,1879,40-44,---,Tirol / Tyrol,AUT,---,---,00:31:32,1.9 km,00:06:20,02:53:34,90.1 km,00:02:50,01:50:46,21.1 km,05:25:02
Heidi Silvey,---,---,DNS,965,45-49,---,Virginia,USA,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Rudolf Sima,---,1362,---,1455,35-39,---,Kärnten / Carinthia,AUT,---,---,00:43:44,1.9 km,00:05:03,02:53:12,90.1 km,00:03:31,02:00:50,21.1 km,05:46:20
Stefano Simionato,---,138,---,1456,35-39,---,VE,ITA,---,---,00:32:04,1.9 km,00:03:02,02:37:37,90.1 km,00:01:27,01:24:43,21.1 km,04:38:53
Michael Simlinger,---,322,---,2179,45-49,---,Vienna,AUT,---,---,00:31:25,1.9 km,00:03:06,02:38:18,90.1 km,00:01:20,01:38:21,21.1 km,04:52:30
Jesus Simón Hernandez,---,1846,---,149,18-24,---,Madrid,ESP,---,---,00:41:38,1.9 km,00:05:43,03:53:36,90.1 km,00:04:45,02:30:23,21.1 km,07:16:05
Hannes Sivich,---,562,---,713,30-34,41,AT,AUT,---,---,00:34:27,1.9 km,00:05:42,02:51:26,90.1 km,00:01:47,01:32:17,21.1 km,05:05:39
Andreas Six,---,946,---,714,30-34,38,AT,AUT,---,---,00:37:51,1.9 km,00:03:29,02:50:04,90.1 km,00:02:20,01:50:03,21.1 km,05:23:47
Michael Skacel,---,612,---,1457,35-39,---,---,AUT,---,---,00:39:28,1.9 km,00:03:46,02:42:34,90.1 km,00:02:04,01:40:15,21.1 km,05:08:07
Kristina Skevin,---,1280,---,898,35-39,---,---,HRV,---,---,00:33:47,1.9 km,00:05:43,03:01:13,90.1 km,00:03:33,01:55:57,21.1 km,05:40:13
Michael Sknura,---,1583,---,1880,40-44,---,---,AUT,---,---,00:48:44,1.9 km,00:07:39,03:06:24,90.1 km,00:02:37,01:59:15,21.1 km,06:04:39
Robert Skocek,---,1140,---,1106,55-59,---,---,AUT,---,---,00:40:11,1.9 km,00:07:10,02:51:46,90.1 km,00:02:48,01:51:10,21.1 km,05:33:05
Maciej Skora,---,44,---,150,18-24,31,---,POL,---,---,00:27:46,1.9 km,00:02:25,02:30:25,90.1 km,00:01:35,01:17:31,21.1 km,04:19:42
Anton Skrlep,---,824,---,1127,60-64,67,ljubljana,SVN,---,---,00:35:25,1.9 km,00:03:17,02:49:48,90.1 km,00:02:16,01:47:29,21.1 km,05:18:15
Súsanna Skylv,---,97,---,72,PRO,---,---,DNK,---,---,00:28:09,1.9 km,00:02:44,02:35:51,90.1 km,00:01:17,01:25:26,21.1 km,04:33:27
Stijn Slaets,---,1325,---,715,30-34,---,Bruxelles Capitale,BEL,---,---,00:41:48,1.9 km,00:06:07,02:52:51,90.1 km,00:02:53,02:00:00,21.1 km,05:43:39
Peter Smakal,---,1062,---,2180,45-49,53,AT,AUT,---,---,00:37:21,1.9 km,00:03:30,02:57:59,90.1 km,00:02:25,01:48:10,21.1 km,05:29:25
Steven Small,---,834,---,716,30-34,---,---,ZAF,---,---,00:34:48,1.9 km,00:03:31,02:51:23,90.1 km,00:02:07,01:46:44,21.1 km,05:18:33
Alexander Smirnov,---,1289,---,343,25-29,36,Intl State,RUS,---,---,00:39:14,1.9 km,00:07:50,03:06:09,90.1 km,00:04:15,01:43:17,21.1 km,05:40:45
Danie Smit,---,1373,---,344,25-29,35,Gauteng,ZAF,---,---,00:37:30,1.9 km,00:06:08,03:01:17,90.1 km,00:03:31,01:58:46,21.1 km,05:47:12
Katy Smith,---,1555,---,428,25-29,---,West Midlands,GBR,---,---,00:35:55,1.9 km,00:05:56,03:10:09,90.1 km,00:04:36,02:04:18,21.1 km,06:00:54
Matthew Smith,---,430,---,717,30-34,38,---,GBR,---,---,00:36:02,1.9 km,00:03:02,02:47:11,90.1 km,00:01:41,01:30:15,21.1 km,04:58:11
Fabio Smolars,---,---,DNS,1056,50-54,61,TS,ITA,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Christine Sobetzki,---,1640,---,966,45-49,54,---,DEU,---,---,00:35:23,1.9 km,00:04:41,03:23:44,90.1 km,00:03:49,02:04:28,21.1 km,06:12:05
Kazimierz Sobolewski,---,1779,---,1107,55-59,---,---,POL,---,---,01:08:14,1.9 km,00:06:22,03:06:18,90.1 km,00:06:04,02:12:52,21.1 km,06:39:50
Roman Soehn,---,---,DNS,1458,35-39,---,Niederösterreich / Lower Austr,AUT,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Bruno Soeiro,---,1713,---,718,30-34,---,Greater London,ZAF,---,---,00:41:52,1.9 km,00:10:33,03:08:58,90.1 km,00:04:06,02:18:22,21.1 km,06:23:51
