name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Alessio Leo,55,11,55,518,35-39,37,Italy,ITA,---,3286,---,1.9 km,00:00:01,02:37:37,90.1 km,00:02:15,01:33:05,21.1 km,04:12:58
Rory Maguire,56,11,56,284,30-34,34,---,IRL,---,3222,---,1.9 km,00:00:01,02:42:26,90.1 km,00:02:41,01:28:06,21.1 km,04:13:14
Emmanuel Iodice,57,12,57,255,30-34,31,Buenos aires,ARG,---,3214,---,1.9 km,00:00:01,02:39:00,90.1 km,00:01:33,01:33:09,21.1 km,04:13:43
Mattia Prandini,58,13,58,328,30-34,32,TRIESTE,ITA,---,3207,---,1.9 km,00:00:01,02:40:02,90.1 km,00:01:43,01:32:19,21.1 km,04:14:05
Benjamin Skok,60,7,60,997,40-44,42,DIVACA,SVN,---,3119,---,1.9 km,00:00:01,02:43:49,90.1 km,00:01:56,01:28:26,21.1 km,04:14:12
Hannes Aichholzer,61,7,61,1035,45-49,48,---,AUT,---,3051,---,1.9 km,00:00:01,02:39:51,90.1 km,00:01:35,01:33:05,21.1 km,04:14:32
Fabrizio Politi,63,12,63,572,35-39,38,italy,ITA,---,3254,---,1.9 km,00:00:01,02:42:40,90.1 km,00:01:43,01:30:21,21.1 km,04:14:45
Borut Vovk,64,8,64,1257,45-49,48,Slovenia,SVN,---,3041,---,1.9 km,00:00:01,02:36:23,90.1 km,00:01:51,01:36:49,21.1 km,04:15:04
Daniele Bertossi,65,14,65,185,30-34,31,ITA,ITA,---,3188,---,1.9 km,00:00:01,02:38:53,90.1 km,00:02:27,01:33:46,21.1 km,04:15:07
Thomas Hackner,66,1,66,1321,50-54,51,AT,AUT,---,3500,---,1.9 km,00:00:01,02:40:17,90.1 km,00:01:52,01:33:05,21.1 km,04:15:15
Olivier Ek,67,15,67,225,30-34,32,BE,BEL,---,3186,---,1.9 km,00:00:01,02:37:18,90.1 km,00:02:19,01:35:37,21.1 km,04:15:15
Sandro Casutt,68,15,68,165,25-29,30,CH,CHE,---,3132,---,1.9 km,00:00:01,02:32:57,90.1 km,00:02:25,01:39:59,21.1 km,04:15:22
Koen Lintermans,69,16,69,277,30-34,34,BE,BEL,---,3182,---,1.9 km,00:00:01,02:32:52,90.1 km,00:02:27,01:40:08,21.1 km,04:15:28
Charles Brukner,70,16,70,163,25-29,29,London,AUS,---,3129,---,1.9 km,00:00:01,02:38:00,90.1 km,00:02:04,01:35:25,21.1 km,04:15:30
Matteo Toscani,71,17,71,361,30-34,32,---,ITA,---,3181,---,1.9 km,00:00:01,02:38:50,90.1 km,00:02:10,01:34:30,21.1 km,04:15:31
Nicholas Clarry,72,8,72,839,40-44,44,Oxfordshire,GBR,---,3092,---,1.9 km,00:00:01,02:41:54,90.1 km,00:03:29,01:30:19,21.1 km,04:15:43
Alessio Piccioni,73,18,73,1656,30-34,---,Italia,ITA,---,3178,---,1.9 km,00:00:01,02:35:31,90.1 km,00:02:03,01:38:08,21.1 km,04:15:43
Vinko Vrebac,74,19,74,374,30-34,31,APO,HRV,---,3175,---,1.9 km,00:00:01,02:41:22,90.1 km,00:01:30,01:32:59,21.1 km,04:15:52
Riccardo Bertoncello,75,8,75,13,18-24,25,vicenza,ITA,---,3068,---,1.9 km,00:00:01,02:41:50,90.1 km,00:01:44,01:32:19,21.1 km,04:15:54
Mikhail Lubenets,76,9,76,923,40-44,41,luxembourg,RUS,---,3085,---,1.9 km,00:00:01,02:45:28,90.1 km,00:03:14,01:27:23,21.1 km,04:16:06
Rene Bauer,77,13,77,401,35-39,---,AT,AUT,---,3230,---,1.9 km,00:00:01,02:41:38,90.1 km,00:01:58,01:32:29,21.1 km,04:16:06
Federico Procopio,78,9,78,1199,45-49,45,roma,ITA,---,3023,---,1.9 km,00:00:01,02:42:00,90.1 km,00:02:39,01:31:26,21.1 km,04:16:06
Stefan Glaser,79,10,79,1121,45-49,47,---,DEU,---,3017,---,1.9 km,00:00:01,02:37:13,90.1 km,00:01:47,01:37:23,21.1 km,04:16:24
Mandi Latini,80,1,80,1548,55-59,57,AT,AUT,---,3500,---,1.9 km,00:00:01,02:44:32,90.1 km,00:02:13,01:29:40,21.1 km,04:16:26
Adam Jaroniec,81,20,81,256,30-34,30,---,POL,---,3165,---,1.9 km,00:00:01,02:37:45,90.1 km,00:01:41,01:36:59,21.1 km,04:16:26
Radek Holinka,82,14,82,490,35-39,37,APO,CZE,---,3214,---,1.9 km,00:00:01,02:35:16,90.1 km,00:01:51,01:39:50,21.1 km,04:16:58
Stefano Rossi,83,11,83,1215,45-49,47,---,ITA,---,2995,---,1.9 km,00:00:01,02:46:36,90.1 km,00:02:22,01:28:40,21.1 km,04:17:39
Tim-Felix Esselmann,84,15,84,453,35-39,38,---,DEU,---,3194,---,1.9 km,00:00:01,02:37:01,90.1 km,00:01:50,01:39:12,21.1 km,04:18:04
Roberto Pavanello,85,12,85,1193,45-49,45,31040,ITA,---,2981,---,1.9 km,00:00:01,02:39:54,90.1 km,00:02:25,01:36:03,21.1 km,04:18:23
Jure Bu Evi ,86,16,86,422,35-39,35,Split,HRV,---,3188,---,1.9 km,00:00:01,02:37:17,90.1 km,00:02:27,01:38:40,21.1 km,04:18:25
Patrick Muchitsch,87,17,87,146,25-29,29,AT,AUT,---,3076,---,1.9 km,00:00:01,02:41:08,90.1 km,00:03:05,01:34:13,21.1 km,04:18:27
Giovanni Bianco,88,2,88,1277,50-54,51,Treviso,ITA,---,3442,---,1.9 km,00:00:01,02:37:56,90.1 km,00:01:47,01:38:44,21.1 km,04:18:28
Roman Lebedev,89,21,89,273,30-34,31,---,RUS,---,3126,---,1.9 km,00:00:01,02:38:27,90.1 km,00:02:10,01:37:57,21.1 km,04:18:35
Mario Kollegger,90,22,90,262,30-34,33,AT,AUT,---,3126,---,1.9 km,00:00:01,02:40:45,90.1 km,00:01:58,01:35:51,21.1 km,04:18:35
Peter Grilc,91,3,91,1319,50-54,55,---,SVN,---,3436,---,1.9 km,00:00:01,02:43:10,90.1 km,00:02:49,01:32:48,21.1 km,04:18:48
Alberto Massimi,92,13,92,1163,45-49,46,Italia,ITA,---,2970,---,1.9 km,00:00:01,02:45:59,90.1 km,00:02:17,01:30:45,21.1 km,04:19:02
Thierry Beltran,93,4,93,1275,50-54,53,FR,FRA,---,3431,---,1.9 km,00:00:01,02:41:14,90.1 km,00:01:41,01:36:08,21.1 km,04:19:04
Klaus Liedtke,94,14,94,1155,45-49,47,Aargau,DEU,---,2967,---,1.9 km,00:00:01,02:40:12,90.1 km,00:02:09,01:36:49,21.1 km,04:19:11
Willi Hahner,95,18,95,167,25-29,25,Hungary,DEU,---,3063,---,1.9 km,00:00:01,02:38:26,90.1 km,00:01:52,01:38:53,21.1 km,04:19:12
Enrico Busatto,96,10,96,828,40-44,43,italy,ITA,---,3028,---,1.9 km,00:00:01,02:38:06,90.1 km,00:01:48,01:39:20,21.1 km,04:19:15
Giovanni Bortolaso,97,19,97,97,25-29,29,Italy,ITA,---,3060,---,1.9 km,00:00:01,02:47:05,90.1 km,00:01:59,01:30:15,21.1 km,04:19:20
Stefan Marchetti,98,11,98,930,40-44,43,Italy ,ITA,---,3026,---,1.9 km,00:00:01,02:38:52,90.1 km,00:01:54,01:38:35,21.1 km,04:19:22
Wolfgang Liebald,100,5,100,1601,50-54,51,DE,DEU,---,3418,---,1.9 km,00:00:01,02:39:58,90.1 km,00:02:45,01:37:04,21.1 km,04:19:48
Balázs Illa,101,12,101,895,40-44,42,Hungary,HUN,---,3018,---,1.9 km,00:00:01,02:37:22,90.1 km,00:02:00,01:40:25,21.1 km,04:19:48
Vittorio Garaventa,103,13,103,868,40-44,45,padova,ITA,---,3015,---,1.9 km,00:00:01,02:37:26,90.1 km,00:01:46,01:40:46,21.1 km,04:19:59
Michaël Charton,104,23,104,200,30-34,35,FR,FRA,---,3097,---,1.9 km,00:00:01,02:40:25,90.1 km,00:02:05,01:37:40,21.1 km,04:20:11
Stefan Fink,105,6,105,1313,50-54,53,it,ITA,---,3410,---,1.9 km,00:00:01,02:43:38,90.1 km,00:01:30,01:35:05,21.1 km,04:20:14
Jarad Mccarroll,106,24,106,296,30-34,31,England,ZAF,---,3096,---,1.9 km,00:00:01,02:40:53,90.1 km,00:03:07,01:36:14,21.1 km,04:20:15
Gints Ermanis,107,14,107,856,40-44,41,Adazu nov.,LVA,---,3000,---,1.9 km,00:00:01,02:36:09,90.1 km,00:02:09,01:42:30,21.1 km,04:20:49
Nicola Cardaci,108,25,108,196,30-34,33,---,ITA,---,3086,---,1.9 km,00:00:01,02:44:43,90.1 km,00:02:19,01:33:46,21.1 km,04:20:49
Walter Lima,109,15,109,916,40-44,42,AT,AUT,---,2997,---,1.9 km,00:00:01,02:42:46,90.1 km,00:02:04,01:36:07,21.1 km,04:20:58
Manuel Schnell,110,20,110,103,25-29,28,---,AUT,---,3031,---,1.9 km,00:00:01,02:38:45,90.1 km,00:01:51,01:40:22,21.1 km,04:20:59
Heiko Lipusch,111,16,111,917,40-44,42,AT,AUT,---,2996,---,1.9 km,00:00:01,02:39:07,90.1 km,00:02:03,01:39:50,21.1 km,04:21:01
Julien Bauchet,112,26,112,176,30-34,---,FR,FRA,---,3079,---,1.9 km,00:00:01,02:45:18,90.1 km,00:02:04,01:33:48,21.1 km,04:21:11
Martin Konrad,113,27,113,264,30-34,30,AT,AUT,---,3077,---,1.9 km,00:00:01,02:43:10,90.1 km,00:02:37,01:35:31,21.1 km,04:21:19
Anton Vinogradov,114,28,114,371,30-34,32,APO,RUS,---,3075,---,1.9 km,00:00:01,02:40:30,90.1 km,00:01:56,01:38:57,21.1 km,04:21:24
Michael Floresku,115,15,115,1106,45-49,45,AT,AUT,---,2922,---,1.9 km,00:00:01,02:41:55,90.1 km,00:01:27,01:38:19,21.1 km,04:21:42
Igor Rudan,116,21,116,70,25-29,26,---,HRV,---,3017,---,1.9 km,00:00:01,02:35:48,90.1 km,00:02:21,01:43:34,21.1 km,04:21:44
Massimiliano Gargatagli,117,17,117,869,40-44,44,italia,ITA,---,2982,---,1.9 km,00:00:01,02:44:41,90.1 km,00:02:02,01:35:05,21.1 km,04:21:49
Robert Schruckmayr,118,18,118,991,40-44,41,AT,AUT,---,2982,---,1.9 km,00:00:01,02:43:06,90.1 km,00:01:46,01:36:56,21.1 km,04:21:49
Robert Jäger,119,17,119,498,35-39,36,AT,AUT,---,3126,---,1.9 km,00:00:01,02:41:00,90.1 km,00:01:36,01:39:15,21.1 km,04:21:52
Soliman Cignacco,120,18,120,436,35-39,38,Italia,ITA,---,3125,---,1.9 km,00:00:01,02:43:51,90.1 km,00:02:00,01:36:04,21.1 km,04:21:56
Rasmus Leicht,121,19,121,517,35-39,39,DE,DEU,---,3125,---,1.9 km,00:00:01,02:43:38,90.1 km,00:01:48,01:36:30,21.1 km,04:21:57
Matija Romsak,122,7,122,1369,50-54,52,Slovenia,SVN,---,3375,---,1.9 km,00:00:01,02:45:36,90.1 km,00:03:21,01:33:12,21.1 km,04:22:10
Elisabetta Villa,1,1,123,1671,40-44,44,Pordenone,ITA,---,3500,---,1.9 km,00:00:01,02:50:02,90.1 km,00:01:56,01:30:11,21.1 km,04:22:10
Aleksander Radivojevic,123,19,124,969,40-44,42,APO,SVN,---,2975,---,1.9 km,00:00:01,02:45:21,90.1 km,00:02:04,01:34:48,21.1 km,04:22:14
Ivan Gobin,124,20,125,477,35-39,37,CRO,HRV,---,3114,---,1.9 km,00:00:01,02:41:15,90.1 km,00:02:12,01:39:03,21.1 km,04:22:31
Diego Ludovici,125,29,126,281,30-34,35,Rm,ITA,---,3055,---,1.9 km,00:00:01,02:39:25,90.1 km,00:02:17,01:40:49,21.1 km,04:22:32
Manuel Walch,126,21,127,648,35-39,37,AT,AUT,---,3113,---,1.9 km,00:00:01,02:36:08,90.1 km,00:02:17,01:44:11,21.1 km,04:22:37
Tim Schäffer,127,30,128,340,30-34,32,DE,DEU,---,3052,---,1.9 km,00:00:01,02:48:31,90.1 km,00:02:43,01:31:27,21.1 km,04:22:42
Rainer Pittnauer,128,22,129,569,35-39,38,---,AUT,---,3111,---,1.9 km,00:00:01,02:44:17,90.1 km,00:02:22,01:36:02,21.1 km,04:22:42
Dino Parroni,129,16,130,1191,45-49,46,Intl State,ITA,---,2904,---,1.9 km,00:00:01,02:45:47,90.1 km,00:03:05,01:33:49,21.1 km,04:22:42
Manuel Lutschounig,130,22,131,73,25-29,27,AT,AUT,---,2997,---,1.9 km,00:00:01,02:38:42,90.1 km,00:02:53,01:41:15,21.1 km,04:22:51
Rok Tercelj,131,23,132,114,25-29,30,Primorska - Istra,SVN,---,2996,---,1.9 km,00:00:01,02:42:22,90.1 km,00:01:50,01:38:40,21.1 km,04:22:53
Paolo Pelizzari,132,31,133,319,30-34,30,Italia,ITA,---,3048,---,1.9 km,00:00:01,02:50:26,90.1 km,00:02:25,01:30:04,21.1 km,04:22:56
