name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Marco Morelli,113,7,122,827,50-54,51,DXB,ITA,---,3227,---,1.9 km,00:01:24,02:24:39,90.1 km,00:01:33,01:41:37,21.1 km,04:09:13
Graham Brookhouse,114,8,123,936,50-54,54,Gloucestershire,GBR,---,3227,---,1.9 km,00:01:23,02:17:06,90.1 km,00:01:36,01:49:09,21.1 km,04:09:14
Mohsen Al Ali,116,20,125,471,30-34,34,---,ARE,---,2905,---,1.9 km,00:01:24,02:28:23,90.1 km,00:00:54,01:39:16,21.1 km,04:09:57
Luke Oung,117,21,126,425,30-34,---,DX,GBR,---,2898,---,1.9 km,00:01:32,02:35:26,90.1 km,00:01:42,01:31:40,21.1 km,04:10:20
Thierry Depolla,118,9,127,831,50-54,51,Badaro,LBN,---,3201,---,1.9 km,00:01:41,02:24:46,90.1 km,00:01:40,01:42:31,21.1 km,04:10:38
Nick Parris,119,20,128,539,35-39,40,---,GBR,---,2905,---,1.9 km,00:01:37,02:21:32,90.1 km,00:01:12,01:46:19,21.1 km,04:10:40
Derek Brady,120,21,129,488,35-39,36,Qatar,IRL,---,2905,---,1.9 km,00:01:22,02:18:39,90.1 km,00:01:59,01:48:41,21.1 km,04:10:41
Flemming Christensen,121,14,130,657,40-44,44,DXB,DNK,---,2869,---,1.9 km,00:01:34,02:23:50,90.1 km,00:01:27,01:44:10,21.1 km,04:11:01
Ronald Dribbin,122,2,131,861,55-59,56,MA,ZAF,---,3460,---,1.9 km,00:01:40,02:27:22,90.1 km,00:02:24,01:39:49,21.1 km,04:11:15
Jasim Al Bastaki,123,10,132,810,50-54,53,Bahrain,BHR,---,3189,---,1.9 km,00:01:31,02:31:07,90.1 km,00:01:35,01:37:06,21.1 km,04:11:19
Finn Zwager,124,15,133,780,45-49,49,Other,NLD,---,2956,---,1.9 km,00:01:29,02:29:25,90.1 km,00:01:45,01:38:43,21.1 km,04:11:22
Selcuk Caglar,125,16,134,146,45-49,48,---,USA,---,2950,---,1.9 km,00:01:37,02:26:23,90.1 km,00:01:10,01:42:33,21.1 km,04:11:43
