name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Miroslav Blanarik,---,216,---,683,35-39,42,---,SVK,---,---,00:52:23,1.9 km,00:03:48,02:22:16,90.1 km,00:01:45,01:57:42,21.1 km,05:17:54
Farron Blanc,---,531,---,355,25-29,34,---,CAN,---,---,00:54:03,1.9 km,00:04:17,02:44:41,90.1 km,00:02:47,02:09:18,21.1 km,05:55:06
Brandon Blau,---,---,DNS,832,35-39,44,---,USA,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Mark Blayney,---,971,---,906,40-44,48,WA,AUS,---,---,00:49:37,1.9 km,00:06:12,02:50:36,90.1 km,00:04:31,02:59:09,21.1 km,06:50:05
Richard Bleackley,---,770,---,416,30-34,37,---,GBR,---,---,00:44:40,1.9 km,00:04:27,03:00:33,90.1 km,00:04:22,02:29:45,21.1 km,06:23:47
Jason Blejwas,---,540,---,267,30-34,35,NC,USA,---,---,00:52:37,1.9 km,00:06:29,02:44:09,90.1 km,00:03:48,02:08:38,21.1 km,05:55:41
Barend Blom,---,471,---,680,40-44,45,---,ZAF,---,---,00:46:06,1.9 km,00:04:07,02:40:25,90.1 km,00:03:07,02:15:27,21.1 km,05:49:12
Hans Ludwig Bock,---,909,---,1507,55-59,64,---,DEU,---,---,00:55:43,1.9 km,00:04:29,03:02:43,90.1 km,00:02:42,02:35:29,21.1 km,06:41:06
Meihan Boey,---,1170,---,82,30-34,39,---,SGP,---,---,01:14:19,1.9 km,00:05:58,03:43:11,90.1 km,00:03:47,02:55:57,21.1 km,08:03:12
Raymund Reel Bontol,---,399,---,449,30-34,37,---,PHL,---,---,00:50:33,1.9 km,00:04:57,02:38:16,90.1 km,00:02:32,02:04:21,21.1 km,05:40:39
John Boo,---,945,---,1051,40-44,49,---,SGP,---,---,00:57:52,1.9 km,00:11:34,02:52:45,90.1 km,00:04:35,02:39:23,21.1 km,06:46:09
Michel Borst,---,647,---,1347,45-49,50,SG,NLD,---,---,00:54:52,1.9 km,00:05:47,02:45:18,90.1 km,00:05:33,02:19:02,21.1 km,06:10:32
Bobby Bostic,---,223,---,1124,40-44,47,CA,KOR,---,---,00:44:51,1.9 km,00:03:01,02:16:53,90.1 km,00:01:26,02:12:54,21.1 km,05:19:05
Rick Bower,---,1152,---,1123,40-44,45,---,AUS,---,---,00:59:16,1.9 km,00:06:14,03:33:13,90.1 km,00:03:31,03:04:59,21.1 km,07:47:13
Anthony Bowyer,---,875,---,834,35-39,42,---,AUS,---,---,00:48:01,1.9 km,00:07:49,02:52:23,90.1 km,00:03:31,02:44:01,21.1 km,06:35:45
James Braithwaite,---,---,DNF,1244,40-44,---,---,GBR,---,---,00:42:06,1.9 km,00:05:30,02:46:03,90.1 km,00:03:44,01:35:51,21.1 km,DNF
Regina Brenner,---,734,---,113,35-39,43,DE,DEU,---,---,01:09:00,1.9 km,00:05:14,02:50:13,90.1 km,00:03:17,02:12:13,21.1 km,06:19:57
Gareth Bridges,---,246,---,655,35-39,39,---,GBR,---,---,00:53:26,1.9 km,00:03:55,02:24:59,90.1 km,00:02:08,01:57:27,21.1 km,05:21:55
Caitlin Bridgland,---,125,---,39,25-29,29,---,AUS,---,---,00:34:03,1.9 km,00:03:01,02:30:39,90.1 km,00:00:54,01:54:22,21.1 km,05:02:59
Nathan Briggs,---,---,DNS,595,35-39,43,---,GBR,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Stephane Bringer,---,94,---,1223,40-44,46,---,FRA,---,---,00:38:36,1.9 km,00:02:46,02:21:28,90.1 km,00:01:22,01:52:41,21.1 km,04:56:53
Mark Britt,---,689,---,458,35-39,40,---,AUS,---,---,00:52:40,1.9 km,00:06:03,02:51:38,90.1 km,00:05:16,02:19:12,21.1 km,06:14:49
James Brodie,---,335,---,1019,40-44,46,---,GBR,---,---,00:52:31,1.9 km,00:04:12,02:22:42,90.1 km,00:01:50,02:11:29,21.1 km,05:32:44
Christopher Brook,---,1009,---,307,25-29,32,---,GBR,---,---,00:50:18,1.9 km,00:05:08,03:03:50,90.1 km,00:03:54,02:52:30,21.1 km,06:55:40
Robert Brooks,---,148,---,1258,45-49,---,Northern Territory,AUS,---,---,00:40:58,1.9 km,---,---,90.1 km,03:11:55,01:56:10,21.1 km,05:08:05
Christopher Brown,---,584,---,895,40-44,47,VIC,AUS,---,---,00:46:03,1.9 km,00:04:29,02:44:26,90.1 km,00:02:46,02:24:19,21.1 km,06:02:03
Damien Brown,---,191,---,601,40-44,44,VI,AUS,---,---,00:41:08,1.9 km,00:03:12,02:30:46,90.1 km,00:02:25,01:57:12,21.1 km,05:14:43
Geoffrey Brown,---,---,DNS,1470,50-54,55,---,AUS,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
steve brown,---,533,---,1515,60-64,---,WA,AUS,---,---,00:52:29,1.9 km,00:03:17,02:33:33,90.1 km,00:02:29,02:23:28,21.1 km,05:55:16
Phillip Brownscombe,---,254,---,913,40-44,49,---,AUS,---,---,00:46:26,1.9 km,00:03:14,02:21:12,90.1 km,00:01:36,02:10:34,21.1 km,05:23:02
Michal Bucek,---,50,---,564,30-34,35,---,SVK,---,---,00:33:56,1.9 km,00:02:27,02:19:21,90.1 km,00:00:57,01:43:24,21.1 km,04:40:05
Lee Buckerfield,---,---,DNS,874,35-39,40,SG,GBR,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Natasha Buckley,---,169,---,76,30-34,---,Auckland,NZL,---,---,00:47:34,1.9 km,00:02:53,02:35:43,90.1 km,00:01:27,01:43:28,21.1 km,05:11:05
Ibrahim Budakoglu,---,1143,---,1235,45-49,50,---,TUR,---,---,01:12:52,1.9 km,00:05:54,03:18:53,90.1 km,00:03:37,03:00:38,21.1 km,07:41:54
David Bulbeck,---,---,DNS,1287,45-49,5,---,HKG,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Sean Burns,---,517,---,871,40-44,44,---,IRL,---,---,00:48:02,1.9 km,00:03:55,02:34:23,90.1 km,00:02:31,02:24:57,21.1 km,05:53:48
Matthew Burton,---,17,---,210,18-24,---,Western Australia,AUS,---,---,00:33:54,1.9 km,00:02:14,02:10:12,90.1 km,00:00:42,01:32:39,21.1 km,04:19:41
Micky Busby,---,230,---,645,35-39,43,---,GBR,---,---,00:43:55,1.9 km,00:03:39,02:31:08,90.1 km,00:01:36,01:59:59,21.1 km,05:20:17
Mike Cabigon,---,35,---,622,35-39,43,AB,CAN,---,---,00:40:42,1.9 km,00:02:35,02:13:53,90.1 km,00:01:07,01:35:11,21.1 km,04:33:28
Bob Calabritto,---,282,---,973,40-44,---,Java,USA,---,---,00:45:42,1.9 km,00:03:17,02:24:19,90.1 km,00:01:25,02:11:23,21.1 km,05:26:06
