name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Cueiano Miguel,52,13,59,701,35-39,---,---,PAN,---,2926,00:24:43,1.9 km,00:03:04,02:39:43,90.1 km,00:01:56,01:45:00,21.1 km,04:54:26
Ricardo J. Reyes B.,53,14,60,642,35-39,39,Intl State,PAN,---,2915,00:25:11,1.9 km,00:04:07,02:41:56,90.1 km,00:02:18,01:41:30,21.1 km,04:55:02
Roberto Vergara,54,15,61,436,35-39,39,Intl State,ECU,---,2910,00:29:41,1.9 km,00:04:07,02:40:44,90.1 km,00:02:24,01:38:22,21.1 km,04:55:18
Lotty Harari,8,1,62,680,40-44,46,Intl State,PAN,---,3500,00:25:52,1.9 km,00:03:42,02:47:48,90.1 km,00:02:15,01:36:17,21.1 km,04:55:54
Terence Kerrigan,55,1,63,591,45-49,48,NJ,USA,---,3500,00:24:40,1.9 km,00:04:32,02:48:09,90.1 km,00:02:38,01:36:22,21.1 km,04:56:21
Rodrigo Acevedo,56,7,64,664,25-29,30,CO,COL,---,3043,00:26:28,1.9 km,00:03:07,03:01:33,90.1 km,00:01:57,01:23:17,21.1 km,04:56:22
Oriol Gili,57,8,65,651,30-34,33,ES,ESP,---,2996,00:26:31,1.9 km,00:04:20,02:50:23,90.1 km,00:02:43,01:32:36,21.1 km,04:56:33
Mariana Borges De Andrade,9,8,66,36,PRO,29,SC,BRA,---,2855,00:25:15,1.9 km,00:02:28,02:47:19,90.1 km,00:02:10,01:39:57,21.1 km,04:57:09
Pablo Testa,58,2,67,602,45-49,48,Panama,PAN,---,3437,00:22:58,1.9 km,00:03:04,02:51:06,90.1 km,00:03:11,01:39:29,21.1 km,04:59:48
Martin Sosa,59,9,68,513,30-34,34,---,PAN,---,2924,00:25:56,1.9 km,00:03:43,02:47:12,90.1 km,00:02:34,01:41:09,21.1 km,05:00:34
Ramses Cano,60,10,69,448,30-34,34,---,PAN,---,2914,00:29:28,1.9 km,00:04:07,02:52:19,90.1 km,00:02:20,01:32:54,21.1 km,05:01:08
