name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Todd Martin,56,2,63,728,45-49,46,QLD,AUS,---,3397,00:37:07,1.9 km,00:04:48,02:28:48,90.1 km,00:01:19,01:24:26,21.1 km,04:36:28
Brad Clark,57,12,64,1065,35-39,38,---,AUS,---,3118,00:36:02,1.9 km,00:04:07,02:26:24,90.1 km,00:01:35,01:28:40,21.1 km,04:36:48
Brendan Worthington,58,9,65,624,40-44,42,NZ,NZL,---,3178,00:29:18,1.9 km,00:05:01,02:28:41,90.1 km,00:01:17,01:32:59,21.1 km,04:37:16
Rebecca Fogarty,8,2,66,174,25-29,30,NZ,NZL,---,3449,00:31:30,1.9 km,00:04:01,02:32:21,90.1 km,00:01:27,01:28:18,21.1 km,04:37:37
Anthony Cowan,59,10,67,692,40-44,44,NZ,NZL,---,3170,00:31:58,1.9 km,00:03:31,02:28:40,90.1 km,00:01:29,01:32:05,21.1 km,04:37:43
Jack Robinson,60,7,68,81,18-24,21,NZ,NZL,---,3008,00:33:05,1.9 km,00:04:16,02:33:28,90.1 km,00:01:30,01:25:43,21.1 km,04:38:02
Stephen Morriss,61,11,69,261,30-34,31,AUK,NZL,---,3200,00:29:26,1.9 km,00:03:51,02:25:04,90.1 km,00:02:21,01:37:30,21.1 km,04:38:12
Michael Van Kampen,62,12,70,289,30-34,31,---,NZL,---,3193,00:33:22,1.9 km,00:04:03,02:26:19,90.1 km,00:01:42,01:33:11,21.1 km,04:38:37
Chris Harrop,63,13,71,238,30-34,31,NZ,NZL,---,3187,00:31:26,1.9 km,00:04:34,02:31:50,90.1 km,00:01:44,01:29:23,21.1 km,04:38:57
Mark Wales,64,14,72,291,30-34,34,NZ,NZL,---,3171,00:31:34,1.9 km,00:04:58,02:26:51,90.1 km,00:02:13,01:34:13,21.1 km,04:39:49
Malcolm Cleland,65,4,73,121,25-29,28,NZ,NZL,---,3164,00:33:26,1.9 km,00:04:01,02:27:09,90.1 km,00:01:36,01:34:40,21.1 km,04:40:52
Francis Evett,66,11,74,516,40-44,45,NZ,NZL,---,3108,00:33:24,1.9 km,00:05:21,02:33:17,90.1 km,00:02:33,01:26:33,21.1 km,04:41:08
Johan Vanhoovels,67,13,75,427,35-39,39,NZ,NZL,---,3039,00:40:27,1.9 km,00:04:43,02:29:00,90.1 km,00:01:34,01:25:25,21.1 km,04:41:09
Julia Grant,9,7,76,28,PRO,31,---,NZL,---,3067,00:30:12,1.9 km,00:03:57,02:34:54,90.1 km,00:01:19,01:31:10,21.1 km,04:41:32
Melanie Burke,10,8,77,32,PRO,36,NZ,NZL,---,3066,00:32:11,1.9 km,00:04:03,02:32:18,90.1 km,00:01:28,01:31:35,21.1 km,04:41:35
Daniel Begley,68,5,78,116,25-29,26,NZ,NZL,---,3144,00:28:22,1.9 km,00:03:27,02:33:50,90.1 km,00:01:27,01:34:52,21.1 km,04:41:58
Scott Miller,69,3,79,732,45-49,46,---,NZL,---,3298,00:31:09,1.9 km,00:04:10,02:25:18,90.1 km,00:01:39,01:39:43,21.1 km,04:41:59
Luke Johnston,70,15,80,245,30-34,34,QLD,AUS,---,3102,00:34:26,1.9 km,00:04:23,02:32:35,90.1 km,00:01:20,01:30:55,21.1 km,04:43:39
Hamish Liddy,71,6,81,135,25-29,29,NZ,NZL,---,3110,00:37:20,1.9 km,00:04:18,02:25:11,90.1 km,00:01:15,01:35:47,21.1 km,04:43:51
David Mattson,72,4,82,729,45-49,47,---,NZL,---,3263,00:32:08,1.9 km,00:04:13,02:32:40,90.1 km,00:01:33,01:33:23,21.1 km,04:43:57
Oliver Knowles,73,16,83,252,30-34,32,---,GBR,---,3095,00:34:38,1.9 km,00:04:12,02:33:23,90.1 km,00:01:32,01:30:17,21.1 km,04:44:02
Kotahi Paranihi,74,8,84,77,18-24,23,---,NZL,---,2900,00:29:45,1.9 km,00:04:05,02:28:09,90.1 km,00:01:43,01:40:21,21.1 km,04:44:03
Glenn Wright,75,2,85,891,50-54,53,NZ,NZL,---,3334,00:31:28,1.9 km,00:04:45,02:28:58,90.1 km,00:01:23,01:37:48,21.1 km,04:44:22
Scott Cresswell,76,12,86,506,40-44,40,NZ,NZL,---,3040,00:29:47,1.9 km,00:04:22,02:33:06,90.1 km,00:01:36,01:36:05,21.1 km,04:44:56
Lewis Tasker,77,9,88,87,18-24,24,---,NZL,---,2858,00:27:05,1.9 km,00:04:02,02:31:21,90.1 km,00:01:48,01:42:07,21.1 km,04:46:23
Tim Brenton-Rule,78,3,89,1054,50-54,51,---,NZL,---,3286,00:35:09,1.9 km,00:04:49,02:31:14,90.1 km,00:02:47,01:33:01,21.1 km,04:47:00
William Kelsey,79,17,90,249,30-34,31,---,NZL,---,3041,00:35:24,1.9 km,00:03:57,02:36:50,90.1 km,00:01:21,01:29:31,21.1 km,04:47:03
Brendon Tipping,80,14,91,424,35-39,38,NZ,NZL,---,2930,00:28:43,1.9 km,00:04:47,02:30:13,90.1 km,00:01:46,01:41:45,21.1 km,04:47:14
Chris Pennifold,81,4,92,865,50-54,52,QLD,AUS,---,3279,00:34:01,1.9 km,00:05:09,02:27:03,90.1 km,00:01:41,01:39:30,21.1 km,04:47:24
Ants Jackson,82,7,93,130,25-29,27,NZ,LBR,---,3033,00:29:37,1.9 km,00:04:22,02:30:44,90.1 km,00:01:39,01:41:44,21.1 km,04:48:06
Alex Roberts,83,8,94,150,25-29,26,---,NZL,---,3029,00:31:43,1.9 km,00:03:54,02:35:00,90.1 km,00:01:16,01:36:29,21.1 km,04:48:22
Aj Cornwall,84,13,95,503,40-44,42,NZ,NZL,---,2977,00:34:31,1.9 km,00:04:49,02:33:52,90.1 km,00:01:43,01:33:32,21.1 km,04:48:27
Laura Wood,12,9,96,34,PRO,24,NZ,NZL,---,2942,00:27:49,1.9 km,00:03:25,02:36:01,90.1 km,00:01:40,01:39:33,21.1 km,04:48:28
Thomas Leuchten,85,15,97,390,35-39,36,NSW,AUS,---,2902,00:33:25,1.9 km,00:04:20,02:31:21,90.1 km,00:01:51,01:37:49,21.1 km,04:48:46
Niels Madsen,86,1,98,969,60-64,61,---,NZL,---,3500,00:34:59,1.9 km,00:04:19,02:31:49,90.1 km,00:02:08,01:35:41,21.1 km,04:48:56
Karen Toulmin,13,1,99,334,30-34,32,---,NZL,---,3500,00:35:56,1.9 km,00:03:45,02:35:17,90.1 km,00:01:13,01:33:02,21.1 km,04:49:13
Glen Towersey,87,14,100,608,40-44,41,NZ,NZL,---,2961,00:33:13,1.9 km,00:04:38,02:38:53,90.1 km,00:01:12,01:31:23,21.1 km,04:49:19
Matt O'Connor,88,9,101,143,25-29,29,NZ,GBR,---,3010,00:33:17,1.9 km,00:04:20,02:29:08,90.1 km,00:01:41,01:40:59,21.1 km,04:49:25
Benoit Beukels,89,18,102,218,30-34,31,FR,FRA,---,2990,00:35:27,1.9 km,00:04:24,02:32:49,90.1 km,00:01:25,01:35:46,21.1 km,04:49:51
Mark Pulman,90,15,103,1028,40-44,42,NZ,NZL,---,2950,00:37:38,1.9 km,00:04:23,02:31:13,90.1 km,00:02:38,01:34:04,21.1 km,04:49:56
Robert Loveridge,91,5,104,725,45-49,48,NZ,NZL,---,3151,00:32:09,1.9 km,00:04:00,02:31:57,90.1 km,00:01:29,01:40:33,21.1 km,04:50:08
Liam Bullen,92,10,105,1020,18-24,21,---,NZL,---,2791,00:29:40,1.9 km,00:04:22,02:31:18,90.1 km,00:02:08,01:42:40,21.1 km,04:50:08
